time_s,participant_1,participant_2,participant_3
1112.663,-34.66,-77.17,-77.17
1112.67,-36.94,-64.51,-54.19
1112.678,-7.27,-56.89,-64.01
1112.686,-14.05,-61.85,-50.81
1112.693,-50.15,-67.34,-17.76
1112.701,-65.32,-66.13,3.53
1112.709,-48.07,-66.08,21.77
1112.716,-34.15,-67.87,40.32
1112.724,-38.05,-65.09,57.4
1112.732,-45.21,-62.86,89.53
1112.74,-48.06,-66.2,137.15
1112.747,-38.16,-67.13,180.98
1112.755,-20.75,-62.81,220.61
1112.763,-32.32,-60.22,267.19
1112.77,-73.73,-59.18,311.7
1112.778,-96.93,-56.46,338.86
1112.786,-84.04,-52.21,338.6
1112.793,-41.82,-46.62,296.64
1112.801,21.28,-45.84,244.98
1112.809,57.98,-39.68,174.35
1112.816,45.15,-33.53,86.37
1112.824,33.94,-31.96,-2.75
1112.832,36.74,-34.97,-74.5
1112.84,14.89,-36.29,-126.79
1112.847,-15.95,-33.31,-165.98
1112.855,-35.1,-31.67,-192.77
1112.863,-61.05,-35.99,-207.1
1112.87,-61.14,-40.1,-211.82
1112.878,-15.7,-35.49,-206.9
1112.886,-28.36,-25.63,-194.92
1112.893,-127.83,-20.52,-185.66
1112.901,-118.44,-22.44,-182.07
1112.909,163.46,-26.89,-176.72
1112.916,678.67,-29.42,-167.53
1112.924,1241.26,-26.56,-158.25
1112.932,1416.62,-20.49,-149.09
1112.94,814.67,-19.55,-140.66
1112.947,-121.77,-25.4,-134.31
1112.955,-479.31,-30.03,-127.03
1112.963,-225.49,-29.86,-120.03
1112.97,-67.7,-27.71,-120.06
1112.978,-171.72,-22.15,-123.81
1112.986,-205.77,-12.27,-121.21
1112.993,-153.74,-6.86,-113.87
1113.001,-174.83,-12.86,-109.99
1113.009,-207.41,-23.59,-107.27
1113.016,-171.19,-28.31,-98.46
1113.024,-134.66,-25.38,-87.34
1113.032,-147.93,-22.44,-83.43
1113.04,-155.46,-24.89,-83.75
