pair,time_s,lag_s,r
p2p3,2490.8,50.0,-0.6704
p2p3,2520.8,50.0,-0.5261
p2p3,2550.8,50.0,-0.4575
p2p3,2580.8,50.0,-0.4674
p2p3,2610.8,50.0,-0.4986
p2p3,2640.8,-90.0,-0.4325
p2p3,2670.8,-30.0,-0.3903
p2p3,2700.8,-20.0,0.7904
p2p3,2730.8,-20.0,0.5451
p2p3,2760.8,60.0,-0.7245
p2p3,2790.8,60.0,-0.6424
p2p3,2820.8,-60.0,0.4821
p2p3,2850.8,80.0,0.4135
p2p3,2880.8,-60.0,0.3749
p2p3,2910.8,-60.0,0.3812
p2p3,2940.8,-30.0,-0.4216
p2p3,2970.8,-30.0,-0.4395
p2p3,3000.8,-80.0,0.4347
p2p3,3030.8,-10.0,-0.5016
p2p3,3060.8,-10.0,-0.4215
p2p3,3090.8,-10.0,-0.5714
p2p3,3120.8,-10.0,-0.5334
p2p3,3150.8,-10.0,-0.5517
p2p3,3180.8,-10.0,-0.48
p2p3,3210.8,-10.0,-0.4611
p2p3,3240.8,-10.0,-0.5384
p2p3,3270.8,-40.0,0.4758
p2p3,3300.8,40.0,0.4577
p2p3,3330.8,-50.0,-0.4411
p2p3,3360.8,-50.0,-0.4836
p2p3,3390.8,-10.0,-0.3011
p2p3,3420.8,-20.0,0.3194
p2p3,3450.8,-10.0,-0.3544
p2p3,3480.8,-20.0,0.3704
p2p3,3510.8,-80.0,0.4176
p2p3,3540.8,-50.0,0.4138
p2p3,3570.8,10.0,0.3206
p2p3,3600.8,-40.0,0.3825
p2p3,3630.8,-40.0,0.4572
p2p3,3660.8,-30.0,0.3507
p2p3,3690.8,50.0,-0.4054
p2p3,3720.8,-50.0,-0.4788
p2p3,3750.8,50.0,-0.5101
p2p3,3780.8,-10.0,-0.5539
p2p3,3810.8,-10.0,-0.531
p2p3,3840.8,-70.0,0.4626
p2p3,3870.8,-70.0,0.4841
p2p3,3900.8,-30.0,0.4789
p2p3,3930.8,-30.0,0.4726
p2p3,3960.8,80.0,0.5175
p2p3,3990.8,80.0,0.5087
p2p3,4020.8,20.0,-0.5536
p2p3,4050.8,-60.0,0.5122
p2p3,4080.8,-60.0,0.423
p2p3,4110.8,40.0,-0.4176
p2p3,4140.8,-40.0,0.603
p2p3,4170.8,30.0,-0.5843
p2p3,4200.8,30.0,-0.5384
p2p3,4230.8,30.0,-0.5461
p2p3,4260.8,30.0,-0.5992
p2p3,4290.8,90.0,0.5583
p2p3,4320.8,90.0,0.4437
p2p3,4350.8,90.0,0.4812
p2p3,4380.8,90.0,0.4619
p2p3,4410.8,60.0,0.4936
p2p3,4440.8,-90.0,0.7477
p2p3,4470.8,-90.0,0.6328
p2p3,4500.8,-90.0,0.6761
p2p3,4530.8,-20.0,0.4783
p2p3,4560.8,-10.0,0.5067
p2p3,4590.8,80.0,-0.6028
p2p3,4620.8,80.0,-0.6192
p2p3,4650.8,20.0,0.5759
p2p3,4680.8,-20.0,0.5198
p2p3,4710.8,-40.0,-0.4951
p2p3,4740.8,60.0,0.48
p2p3,4770.8,-40.0,-0.4412
p2p3,4800.8,-80.0,-0.647
p2p3,4830.8,-80.0,-0.6617
p2p3,4860.8,-80.0,-0.5441
p2p3,4890.8,50.0,0.4017
p2p3,4920.8,50.0,0.4512
p2p3,4950.8,-10.0,-0.3748
p2p3,4980.8,-10.0,-0.3732
p2p3,5010.8,-10.0,-0.5472
p2p3,5040.8,-10.0,-0.6197
p2p3,5070.8,90.0,0.5721
p2p3,5100.8,90.0,0.6533
p2p3,5130.8,90.0,0.6877
p2p3,5160.8,90.0,0.4515
p2p3,5190.8,30.0,-0.4346
p2p3,5220.8,90.0,0.5629
p2p3,5250.8,80.0,-0.6121
p2p3,5280.8,-10.0,0.4054
p2p3,5310.8,80.0,-0.4487
p2p3,5340.8,-70.0,0.4046
p2p3,5370.8,-20.0,-0.4582
p2p3,5400.8,-70.0,0.6454
p2p3,5430.8,10.0,-0.5396
p2p3,5460.8,10.0,-0.5868
p2p3,5490.8,10.0,-0.5243
p2p3,5520.8,70.0,0.5775
p2p3,5550.8,40.0,0.5478
p2p3,5580.8,40.0,0.4617
p2p3,5610.8,90.0,0.492
p2p3,5640.8,-40.0,-0.5916
p2p3,5670.8,-40.0,-0.6077
p2p3,5700.8,0.0,0.4558
p2p3,5730.8,0.0,0.4403
p2p3,5760.8,0.0,0.4042
p2p3,5790.8,0.0,0.4943
p2p3,5820.8,20.0,-0.6949
p2p3,5850.8,-20.0,-0.443
p2p3,5880.8,0.0,0.5684
p3p1,120.0,0.0,-0.6474
p3p1,150.0,-20.0,-0.3916
p3p1,180.0,70.0,-0.344
p3p1,210.0,-90.0,-0.464
p3p1,240.0,70.0,-0.3924
p3p1,270.0,30.0,-0.393
p3p1,300.0,60.0,-0.4096
p3p1,330.0,50.0,0.3509
p3p1,360.0,50.0,0.5256
p3p1,390.0,-20.0,0.5473
p3p1,420.0,10.0,-0.6211
p3p1,450.0,10.0,-0.5619
p3p1,480.0,10.0,-0.6199
p3p1,510.0,80.0,0.5809
p3p1,540.0,80.0,0.5246
p3p1,570.0,90.0,0.3982
p3p1,600.0,70.0,-0.4228
p3p1,630.0,20.0,-0.6614
p3p1,660.0,60.0,-0.5482
p3p1,690.0,-50.0,0.504
p3p1,720.0,70.0,-0.5346
p3p1,750.0,70.0,-0.5377
p3p1,780.0,70.0,-0.6207
p3p1,810.0,80.0,-0.5968
p3p1,840.0,-10.0,-0.4739
p3p1,870.0,40.0,0.5051
p3p1,900.0,70.0,-0.4298
p3p1,930.0,-80.0,0.6288
p3p1,960.0,-10.0,-0.4898
p3p1,990.0,20.0,-0.6938
p3p1,1020.0,20.0,-0.6869
p3p1,1050.0,20.0,-0.6797
p3p1,1080.0,20.0,-0.7124
p3p1,1110.0,10.0,-0.5592
p3p1,1140.0,-30.0,0.5045
p3p1,1320.8,0.0,-0.3245
p3p1,1350.8,0.0,-0.2322
p3p1,1380.8,-10.0,0.4924
p3p1,1410.8,-90.0,0.6385
p3p1,1440.8,-90.0,0.761
p3p1,1470.8,-90.0,0.7343
p3p1,1500.8,-90.0,0.5824
p3p1,1530.8,80.0,0.5689
p3p1,1560.8,80.0,0.5027
p3p1,1590.8,80.0,0.4849
p3p1,1620.8,10.0,-0.6972
p3p1,1650.8,10.0,-0.613
p3p1,1680.8,90.0,0.6559
p3p1,1710.8,90.0,0.6889
p3p1,1740.8,-40.0,0.5878
p3p1,1770.8,-30.0,0.6159
p3p1,1800.8,-40.0,0.7968
p3p1,1830.8,-40.0,0.7856
p3p1,1860.8,40.0,-0.5507
p3p1,1890.8,20.0,-0.6583
p3p1,1920.8,70.0,-0.5304
p3p1,1950.8,70.0,-0.4093
p3p1,1980.8,70.0,-0.4626
p3p1,2010.8,20.0,-0.4177
p3p1,2040.8,80.0,-0.573
p3p1,2070.8,-60.0,-0.5893
p3p1,2100.8,80.0,-0.6208
p3p1,2130.8,80.0,-0.5754
p3p1,2160.8,-50.0,-0.5531
p3p1,2190.8,20.0,0.6001
p3p1,2220.8,20.0,0.5569
p3p1,2250.8,20.0,0.6089
p3p1,2280.8,-80.0,-0.6435
p3p1,2310.8,-80.0,-0.5536
p3p1,2340.8,-80.0,-0.4322
p3p1,2370.8,-80.0,-0.5576
p3p1,2400.8,-80.0,-0.55
p3p1,2430.8,-80.0,-0.4981
p3p1,2460.8,-80.0,-0.4784
p3p1,2490.8,-40.0,-0.6812
p3p1,2520.8,-40.0,-0.703
p3p1,2550.8,-90.0,0.4984
p3p1,2580.8,-50.0,-0.5675
p3p1,2610.8,-20.0,-0.4763
p3p1,2640.8,-20.0,-0.4985
p3p1,2670.8,-10.0,-0.504
p3p1,2700.8,-20.0,-0.3839
p3p1,2730.8,-50.0,-0.5064
p3p1,2760.8,-30.0,0.5091
p3p1,2790.8,0.0,0.5086
p3p1,2820.8,50.0,-0.5429
p3p1,2850.8,50.0,-0.5907
p3p1,2880.8,70.0,-0.3935
p3p1,2910.8,70.0,-0.3838
p3p1,2940.8,-70.0,-0.4593
p3p1,2970.8,70.0,-0.4862
p3p1,3000.8,0.0,0.5309
p3p1,3030.8,0.0,0.4878
p3p1,3060.8,0.0,0.5846
p3p1,3090.8,0.0,0.4127
p3p1,3120.8,-80.0,0.4094
p3p1,3150.8,60.0,0.5102
p3p1,3180.8,60.0,0.5925
p3p1,3210.8,40.0,0.4553
p3p1,3240.8,40.0,0.4822
p3p1,3270.8,70.0,0.4415
p3p1,3300.8,70.0,0.4662
